Knowledge,f,Comp.,Appl.,Analysis,Eval.,Create
Arrange,22,articulate,act,analyze,appraise,arrange
Choose,7,associate,adapt,appraise,argue,assemble
Cite,7,characterize,apply,break,arrange,categorize
Copy,7,cite,back/back up,break down,assess,choose
Define,9,clarify,calculate,calculate,attach,collect
Describe,14,classify,change,categorize,choose,combine
Draw,7,compare,choose,classify,compare,compile
Duplicate,19,contrast,classify,compare,conclude,compose
Identify,29,convert,complete,conclude,consider,construct
Indicate,19,defend,compute,contrast,core,create
Label,24,demonstrate,construct,correlate,counsel,design
List,18,describe,demonstrate,criticize,create,develop
Match,5,differentiate,develop,debate,critique,devise
Match,5,discuss,discover,deduce,critique,estimate
Memorize,4,distinguish,dramatize,detect,decide,evaluate
Name,8,estimate,employ,diagnose,defend,explain
Order,4,explain,experiment,diagram,describe,facilitate
Outline,18,express,explain,differentiate,design,formulate
Quote,7,extend,generalize,discover,determine,generate
Read,11,extrapolate,identify,discriminate,discriminate,generate
Recall,8,generalize,illustrate,dissect,estimate,hypothesize
Recite,5,give,implement,distinguish,evaluate,improve
Recognize,4,give examples,interpret,divide,explain,integrate
Record,10,identify,interview,evaluate,grade,invent
