Knowledge,Comp.,Appl.,Analysis,Eval.,Create
arrang,articul,act,analyz,apprais,arrang
choos,associ,adapt,apprais,argu,assembl
cite,character,appli,break,arrang,categor
copi,cite,back/back up,break down,assess,choos
defin,clarifi,calcul,calcul,attach,collect
describ,classifi,chang,categor,choos,combin
draw,compar,choos,classifi,compar,compil
duplic,contrast,classifi,compar,conclud,compos
identifi,convert,complet,conclud,consid,construct
indic,defend,comput,contrast,core,creat
label,demonstr,construct,correl,counsel,design
list,describ,demonstr,critic,creat,develop
match,differenti,develop,debat,critiqu,devi
match,discus,discov,deduc,critiqu,estim
memor,distinguish,dramat,detect,decid,evalu
name,estim,employ,diagnos,defend,explain
order,explain,experi,diagram,describ,facilit
outlin,express,explain,differenti,design,formul
quot,extend,gener,discov,determin,gener
read,extrapol,identifi,discrimin,discrimin,gener
recal,gener,illustr,dissect,estim,hypothes
recit,give,implement,distinguish,evalu,improv
recogn,give exampl,interpret,divid,explain,integr
record,identifi,interview,evalu,grade,invent
